Investigation Type,Latitude,Longitude,Aircraft Category,Make,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Weather Condition,
 Accident ,38.601944,-86.14,, Levick , Yes ,1, Reciprocating , Personal , VMC , 
 Incident ,36.776111,-119.718056, Helicopter , Eurocopter France , No ,1, Turbo Shaft , Public Aircraft - State , VMC , 
 Accident ,40.658333,-73.786666, Airplane , BOEING , No ,4,, Positioning , IMC , 
 Accident ,41.978611,-87.904722, Airplane , Boeing , No ,2, Turbo Fan ,, VMC , 
 Accident ,32.8325,-116.975834, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,40.658333,-73.786666, Airplane , EMBRAER , No ,2, Turbo Fan , Positioning , IMC , 
 Accident ,24.783333,-81.137777, Airplane , PIPER , No ,1, Reciprocating , Personal , VMC , 
 Accident ,40.121667,-76.295833, Airplane , Beech , No ,2, Reciprocating , Personal , VMC , 
 Accident ,25.041666,-80.488333, Airplane , Maule , No ,1, Reciprocating , Personal , VMC , 
 Accident ,-1.534444,-75.417223,, Bell , No ,,,, VMC , 
 Accident ,32.224445,-81.6975,, Cessna , No ,2, Reciprocating , Personal , VMC , 
 Accident ,34.745277,-87.610278, Airplane , Piper , No ,2, Turbo Prop , Personal , VMC , 
 Accident ,35.764722,-80.953889, Airplane ," Wootton, John ", Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,28,-82.158611, Helicopter , ROBINSON HELICOPTER , No ,1, Reciprocating , Personal , VMC , 
 Accident ,17.205556,-62.59,," Bombardier, Inc. ", No ,,, Personal , VMC , 
 Accident ,38.1125,-113.001111, Airplane , BEECH , No ,1, Reciprocating , Personal , VMC , 
 Accident ,41.344166,-82.1775, Airplane ," Smith, Ted Aerostar ", No ,2, Reciprocating , Personal , IMC , 
 Accident ,45.113889,-113.884722, Airplane , BEECH , No ,2, Turbo Prop , Executive/Corporate , IMC , 
 Accident ,34.259722,-79.020834, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,50.401389,30.400556,, Beech , No ,,, Unknown ,, 
 Accident ,38.624723,-77.753056, Airplane , BEECH , No ,1, Reciprocating , Personal , IMC , 
 Accident ,9.906667,-67.355,, Cessna , No ,,, Personal , VMC , 
 Accident ,26.347222,-80.315278, Airplane , CESSNA , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,37.952222,-85.235833, Airplane , CESSNA , No ,1, Reciprocating , Personal , IMC , 
 Accident ,44.926111,-89.626389, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,42.663611,-85.346111, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,33.716945,-85.820834, Airplane , Fisher Aero , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,47.619723,-117.533611, Airplane , Cessna , No ,1, Reciprocating , Positioning , VMC , 
 Accident ,30.501111,-84.080278, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,26.347222,-80.315278, Airplane , PIPER , No ,2, Reciprocating , Personal , VMC , 
 Accident ,40.6,-116.866667, Airplane , Piaggio Aero Industries S.P.A. , No ,2, Turbo Prop , Business , IMC , 
 Accident ,33.627223,-85.531389, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,47.067778,-122.101111,, Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,29.053333,-80.942777, Airplane , Messing Roy , Yes ,1, Reciprocating , Personal , VMC , 
